IdentificacaoParlamentar/CodigoParlamentar;IdentificacaoParlamentar/NomeParlamentar;IdentificacaoParlamentar/NomeCompletoParlamentar;IdentificacaoParlamentar/SexoParlamentar;IdentificacaoParlamentar/FormaTratamento;IdentificacaoParlamentar/UrlFotoParlamentar;IdentificacaoParlamentar/UrlPaginaParlamentar;IdentificacaoParlamentar/EmailParlamentar;IdentificacaoParlamentar/SiglaPartidoParlamentar;IdentificacaoParlamentar/UfParlamentar;Mandato/CodigoMandato;Mandato/UfParlamentar;Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;Mandato/PrimeiraLegislaturaDoMandato/DataInicio;Mandato/PrimeiraLegislaturaDoMandato/DataFim;Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;Mandato/SegundaLegislaturaDoMandato/DataInicio;Mandato/SegundaLegislaturaDoMandato/DataFim;Mandato/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/DescricaoParticipacao;Mandato/Suplentes/Suplente/0/CodigoParlamentar;Mandato/Suplentes/Suplente/0/NomeParlamentar;Mandato/Suplentes/Suplente/1/DescricaoParticipacao;Mandato/Suplentes/Suplente/1/CodigoParlamentar;Mandato/Suplentes/Suplente/1/NomeParlamentar;Mandato/Exercicios/Exercicio/0/CodigoExercicio;Mandato/Exercicios/Exercicio/0/DataInicio;Mandato/Exercicios/Exercicio/1/CodigoExercicio;Mandato/Exercicios/Exercicio/1/DataInicio;Mandato/Exercicios/Exercicio/1/DataFim;Mandato/Exercicios/Exercicio/1/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/1/DescricaoCausaAfastamento;UrlGlossario;Mandato/Titular/DescricaoParticipacao;Mandato/Titular/CodigoParlamentar;Mandato/Titular/NomeParlamentar;Mandato/Exercicios/Exercicio/2/CodigoExercicio;Mandato/Exercicios/Exercicio/2/DataInicio;Mandato/Exercicios/Exercicio/2/DataFim;Mandato/Exercicios/Exercicio/2/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/2/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/0/DataLeitura;Mandato/Exercicios/Exercicio/1/DataLeitura;Mandato/Exercicios/Exercicio/3/CodigoExercicio;Mandato/Exercicios/Exercicio/3/DataInicio;Mandato/Exercicios/Exercicio/3/DataFim;Mandato/Exercicios/Exercicio/3/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/3/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/4/CodigoExercicio;Mandato/Exercicios/Exercicio/4/DataInicio;Mandato/Exercicios/Exercicio/4/DataFim;Mandato/Exercicios/Exercicio/4/SiglaCausaAfastamento;Mandato/Exercicios/Exercicio/4/DescricaoCausaAfastamento;Mandato/Exercicios/Exercicio/2/DataLeitura
950;João Alberto Souza;João Alberto de Souza;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador950.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/950;joao.alberto.souza@senador.leg.br;PMDB;MA;438;MA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;3881;Clovis Fecury;2º Suplente;670;Mauro Fecury;2676;2012-11-05;2602;2011-02-01;2011-09-29;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;2012-11-05;2011-09-29;;;;;;;;;;;
3394;João Capiberibe;João Alberto Rodrigues Capiberibe;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3394.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3394;joao.capiberibe@senador.leg.br;PSB;AP;490;AP;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5418;Ivanci Magno;2º Suplente;5420;Ubiraci Picanço;2656;2011-11-29;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;2011-11-29;;;;;;;;;;;;
1249;Kátia Abreu;Kátia Regina de Abreu;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1249.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/1249;katia.abreu@senadora.leg.br;S/Partido;TO;518;TO;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5637;Donizeti Nogueira;2º Suplente;5639;Bispo Guaracy;2783;2016-05-12;2757;2015-02-01;2015-02-02;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5533;Lasier Martins;Lasier Costa Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5533;lasier.martins@senador.leg.br;PSD;RS;497;RS;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5623;Christopher Goulart;2º Suplente;5625;Adilson Silva dos Santos;2740;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3695;Lindbergh Farias;Luiz Lindbergh Farias Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3695.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3695;lindbergh.farias@senador.leg.br;PT;RJ;436;RJ;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5060;Olney Ribeiro Botelho;2º Suplente;5064;Emir Simão Sader;2608;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4575;Lídice da Mata;Lídice da Mata e Souza;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4575.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4575;lidice.mata@senadora.leg.br;PSB;BA;461;BA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5176;Nestor Duarte Guimarães Neto;2º Suplente;5066;Juçara Feitosa de Oliveira;2607;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
643;Lúcia Vânia;Lúcia Vânia Abrão;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador643.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/643;lucia.vania@senadora.leg.br;PSB;GO;459;GO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5076;Ione Borges Ribeiro Guimarães;2º Suplente;5190;Maria Luza de Aquino Machado;2609;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
631;Magno Malta;Magno Pereira Malta;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/631;magno.malta@senador.leg.br;PR;ES;483;ES;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5122;Paulo Antenor de Oliveira;2º Suplente;5126;Enivaldo Euzébio dos Anjos;2611;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
1023;Maria do Carmo Alves;Maria do Carmo do Nascimento Alves;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/1023;maria.carmo.alves@senadora.leg.br;DEM;SE;517;SE;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5635;Ricardo Franco;2º Suplente;4786;Virginio de Carvalho;2807;2017-01-01;2795;2016-08-22;2016-09-30;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;2780;2016-05-10;2016-05-13;AFO;Afastamento do exercício;;;2758;2015-02-01;2015-11-10;AFO;Afastamento do exercício;;;;;;2016-05-10
5000;Marta Suplicy;Marta Teresa Suplicy;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5000.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5000;marta.suplicy@senadora.leg.br;PMDB;SP;471;SP;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5150;Antonio Carlos Rodrigues;2º Suplente;5152;Paulo Frateschi;2711;2014-11-13;2614;2011-02-01;2012-09-13;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5525;Omar Aziz;Omar José Abdel Aziz;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525;omar.aziz@senador.leg.br;PSD;AM;493;AM;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5565;Dr. Helder Cavalcante;2º Suplente;5567;Luis Mitoso;2741;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5523;Otto Alencar;Otto Roberto Mendonça de Alencar;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523;otto.alencar@senador.leg.br;PSD;BA;492;BA;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5573;Abel Rebouças;2º Suplente;5575;Marizete;2742;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5018;Pastor Bel;Heber Waldo Silva Costa;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5018.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5018;;PRTB;MA;445;MA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;2º Suplente;1º Suplente;3579;Lobão Filho;;;;2844;2017-12-15;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;16;Edison Lobão;;;;;;2017-12-18;;;;;;;;;;;;
3741;Paulo Bauer;Paulo Roberto Bauer;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3741.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3741;paulo.bauer@senador.leg.br;PSDB;SC;466;SC;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5136;Cesar Antonio de Souza;2º Suplente;5138;Athos de Almeida Lopes;2615;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
825;Paulo Paim;Paulo Renato Paim;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/825;paulopaim@senador.leg.br;PT;RS;449;RS;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5084;Veridiana Maria Tonini;2º Suplente;5088;Gilberto Corazza;2616;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
374;Paulo Rocha;Paulo Roberto Galvão da Rocha;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/374;paulo.rocha@senador.leg.br;PT;PA;507;PA;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;375;Valdir Ganzer;2º Suplente;5599;Pastor Ibanes Taveira;2743;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5116;Pedro Chaves;Pedro Chaves dos Santos Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5116.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5116;pedrochaves@senador.leg.br;PSC;MS;447;MS;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5118;Zonir Freitas Tetila;;;;2790;2016-05-17;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;3360;Delcídio do Amaral;;;;;;;;;;;;;;;;;;
2207;Raimundo Lira;Raimundo Lira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2207.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/2207;raimundo.lira@senador.leg.br;PMDB;PB;440;PB;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5168;Aristavora de Souza Santos;;;;2719;2014-12-22;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;4645;Vital do Rêgo;;;;;;;;;;;;;;;;;;
5012;Randolfe Rodrigues;Randolph Frederich Rodrigues Alves;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012;randolfe.rodrigues@senador.leg.br;REDE;AP;475;AP;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5044;Clécio Luis Vilhena Vieira;2º Suplente;5046;Andrelina Barbosa da Cunha;2618;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5182;Regina Sousa;Maria Regina Sousa;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5182.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5182;reginasousa@senadora.leg.br;PT;PI;488;PI;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5184;José Ribamar Noleto de Santana;;;;2721;2015-01-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;5016;Wellington Dias;;;;;;;;;;;;;;;;;;
5236;Reguffe;José Antônio Machado Reguffe;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5236;reguffe@senador.leg.br;S/Partido;DF;502;DF;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5579;José Carlos Vasconcellos;2º Suplente;5581;Fadi Faraj;2744;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
70;Renan Calheiros;José Renan Vasconcelos Calheiros;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/70;renan.calheiros@senador.leg.br;PMDB;AL;469;AL;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5034;Fábio Luiz Araújo Lopes de Farias;2º Suplente;5036;José de Macedo Ferreira;2619;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5052;Roberto Muniz;Roberto de Oliveira Muniz;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5052.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5052;roberto.muniz@senador.leg.br;PP;BA;454;BA;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5056;Silvia Nascimento Cardoso dos Santos Cerqueira;;;;2835;2017-10-19;2794;2016-06-06;2017-10-16;RET;Retorno do titular;http://legis.senado.leg.br/dadosabertos/senador/;Titular;604;Walter Pinheiro;;;;;;2017-10-19;2016-06-07;;;;;;;;;;;
72;Roberto Requião;Roberto Requião de Mello e Silva;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador72.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/72;roberto.requiao@senador.leg.br;PMDB;PR;467;PR;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5054;Francisco Simeão Rodrigues Neto;2º Suplente;5058;Luís Guilherme Gomes Mussi;2621;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
677;Roberto Rocha;Roberto Coelho Rocha;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/677;robertorocha@senador.leg.br;PSDB;MA;505;MA;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;4606;Pinto Itamaraty;2º Suplente;5589;Paulo Matos;2812;2017-01-27;2745;2015-02-01;2016-09-25;LP;Licença Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;2016-10-04;;;;;;;;;;;
73;Romero Jucá;Romero Jucá Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/73;romero.juca@senador.leg.br;PMDB;RR;460;RR;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;3597;Wirlande da Luz;2º Suplente;5074;Sander Fraxe Salomao;2792;2016-05-24;2623;2011-02-01;2016-05-13;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5322;Romário;Romario de Souza Faria;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322;romario@senador.leg.br;PODE;RJ;509;RJ;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5613;João Batista Lemos;2º Suplente;791;Vivaldo Barbosa;2746;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
456;Ronaldo Caiado;Ronaldo Ramos Caiado;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador456.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/456;ronaldo.caiado@senador.leg.br;DEM;GO;504;GO;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5585;Luiz Carlos do Carmo;2º Suplente;5587;Eladio Carneiro;2748;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
2331;Rose de Freitas;Rosilda de Freitas;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/2331;rose.freitas@senadora.leg.br;PMDB;ES;503;ES;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;151;Luiz Pastore;2º Suplente;5583;Schariff Moyses;2749;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5527;Simone Tebet;Simone Nassar Tebet;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5527;simone.tebet@senadora.leg.br;PMDB;MS;494;MS;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5593;Celso Dal Lago Rodrigues;2º Suplente;5595;Moacir Kohl;2750;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4560;Sérgio Petecão;Sérgio de Oliveira Cunha;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560;sergio.petecao@senador.leg.br;PSD;AC;442;AC;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5026;Fernando Carvalho Lage;2º Suplente;5028;Armando José de Oliveira;2624;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5106;Sérgio de Castro;Sérgio Rogério de Castro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5106.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5106;;PDT;ES;455;ES;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5120;José Antonio Guidoni;;;;2841;2017-11-08;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;635;Ricardo Ferraço;;;;;;2017-11-08;;;;;;;;;;;;
3396;Tasso Jereissati;Tasso Ribeiro Jereissati;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3396;tasso.jereissati@senador.leg.br;PSDB;CE;512;CE;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;611;Chiquinho Feitosa;2º Suplente;5577;Fernando Façanha;2751;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5535;Telmário Mota;Telmário Mota de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5535;telmariomota@senador.leg.br;PTB;RR;498;RR;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;5619;Thieres Pinto;2º Suplente;5621;Rudson Leite;2828;2017-04-14;2752;2015-02-01;2016-12-14;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
3372;Valdir Raupp;Valdir Raupp de Matos;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3372.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3372;valdir.raupp@senador.leg.br;PMDB;RO;453;RO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;4949;Tomás Correia;2º Suplente;4951;Manoel Angelo Chagas;2678;2012-11-15;2625;2011-02-01;2012-07-13;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
558;Vanessa Grazziotin;Vanessa Grazziotin;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador558.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/558;vanessa.grazziotin@senadora.leg.br;PCdoB;AM;437;AM;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;553;Francisco Garcia;2º Suplente;5042;Alzira Ferreira Barros;2626;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
4763;Vicentinho Alves;Vicente Alves de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4763.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4763;vicentinho.alves@senador.leg.br;PR;TO;451;TO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5166;João Costa;2º Suplente;5170;Agimiro Dias da Costa;2688;2013-04-23;2681;2013-01-30;2013-02-01;AFO;Afastamento do exercício;http://legis.senado.leg.br/dadosabertos/senador/;;;;2627;2011-02-01;2012-10-16;AFO;Afastamento do exercício;;2013-01-30;;;;;;;;;;;2012-10-17
1176;Waldemir Moka;Waldemir Moka Miranda de Britto;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1176.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/1176;waldemir.moka@senador.leg.br;PMDB;MS;446;MS;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5124;Maria Antonieta Amorim dos Santos;2º Suplente;5128;Gino Jose Ferreira;2629;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
1173;Wellington Fagundes;Wellington Antonio Fagundes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/1173;wellington.fagundes@senador.leg.br;PR;MT;506;MT;55;2015-02-01;2019-01-31;56;2019-02-01;2023-01-31;Titular;1º Suplente;4885;Jorge Yanai;2º Suplente;5591;Manoel Motta;2753;2015-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
5070;Wilder Morais;Wilder Pedro de Morais;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070;wilder.morais@senador.leg.br;PP;GO;472;GO;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;4873;Fleury;;;;2714;2014-11-15;2666;2012-07-13;2014-07-16;LSP;Licença Saúde-Particular;http://legis.senado.leg.br/dadosabertos/senador/;Titular;3399;Demóstenes Torres;;;;;;;2014-07-17;;;;;;;;;;;
5144;Zeze Perrella;José Perrella de Oliveira Costa;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5144.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5144;zeze.perrella@senador.leg.br;PMDB;MG;441;MG;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;1º Suplente;2º Suplente;5146;Elaine Matozinhos Ribeiro;;;;2643;2011-07-11;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;Titular;1754;Itamar Franco;;;;;;2011-07-11;;;;;;;;;;;;
4697;Ângela Portela;Ângela Maria Gomes Portela;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4697.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4697;angela.portela@senadora.leg.br;PDT;RR;486;RR;54;2011-02-01;2015-01-31;55;2015-02-01;2019-01-31;Titular;1º Suplente;5078;Jose Nagib da Silva Lima;2º Suplente;5080;Pablo Sergio Souza Bezerra;2582;2011-02-01;;;;;;http://legis.senado.leg.br/dadosabertos/senador/;;;;;;;;;;;;;;;;;;;;;
